workload_id,workload_name,provider,region,instance_type,vcpus,memory_gb,runtime_hours,avg_cpu_utilization,avg_memory_utilization,start_time,end_time
aws-ml-training-001,ML Model Training Pipeline,AWS,us-east-1,p3.2xlarge,8,61,24.5,78.3,65.2,2026-01-15T08:00:00Z,2026-01-16T08:30:00Z
aws-ml-training-002,Image Classification Training,AWS,us-west-2,p3.8xlarge,32,244,18.2,92.1,71.8,2026-01-16T10:00:00Z,2026-01-17T04:12:00Z
aws-data-etl-001,Daily ETL Pipeline,AWS,us-east-1,r5.4xlarge,16,128,6.5,45.2,82.4,2026-01-15T00:00:00Z,2026-01-15T06:30:00Z
aws-data-etl-002,Customer Data Processing,AWS,eu-west-1,r5.2xlarge,8,64,4.2,52.8,68.9,2026-01-15T02:00:00Z,2026-01-15T06:12:00Z
aws-api-001,Production API Cluster,AWS,us-east-1,c5.2xlarge,8,16,720,34.5,42.1,2026-01-01T00:00:00Z,2026-01-31T00:00:00Z
aws-api-002,Staging API Server,AWS,us-east-1,c5.xlarge,4,8,720,18.2,28.5,2026-01-01T00:00:00Z,2026-01-31T00:00:00Z
aws-batch-001,Nightly Batch Processing,AWS,us-west-2,m5.4xlarge,16,64,8.0,88.5,75.2,2026-01-15T22:00:00Z,2026-01-16T06:00:00Z
aws-batch-002,Weekly Report Generation,AWS,eu-central-1,m5.2xlarge,8,32,3.5,72.4,58.6,2026-01-14T01:00:00Z,2026-01-14T04:30:00Z
aws-analytics-001,Real-time Analytics Engine,AWS,us-east-1,r5.8xlarge,32,256,720,56.8,78.4,2026-01-01T00:00:00Z,2026-01-31T00:00:00Z
aws-ml-inference-001,Model Inference Service,AWS,us-west-2,g4dn.xlarge,4,16,720,42.5,35.8,2026-01-01T00:00:00Z,2026-01-31T00:00:00Z
